formsGL
CG 03 00 01 96
CG 04 35 12 07
CG 20 05 12 19
CG 20 11 12 19
CG 20 13 12 19
CG 20 18 12 19
CG 20 23 12 19
CG 20 24 12 19
CG 20 26 12 19
CG 20 27 12 19
CG 21 09 06 15
CG 21 36 03 05
CG 21 45 07 98
CG 21 49 09 99
CG 21 66 12 19
CG 21 67 12 04
CG 21 90 01 06
CG 21 96 03 05
CG 24 04 12 19
CG 40 04 12 19
CG 40 14 12 20
CG 40 32 05 23
MGT GL 1004 01 25
MGT PR 1001 01 25
MGT PR 1002 01 25
CP 00 10 10 12
CP 00 30 10 12
CP 00 32 10 12
CP 00 90 07 88
CP 01 40 07 06
CP 01 42 03 12
CP 02 02 08 24
CP 03 20 04 18
CP 03 21 10 12
CP 03 29 04 18
CP 04 05 09 17
CP 04 11 09 17
CP 04 38 09 17
CP 04 39 10 90
CP 04 60 10 12
CP 10 20 10 12
CP 10 30 09 17
CP 10 36 10 12
CP 10 46 10 12
CP 10 52 06 07
CP 10 55 06 07
CP 10 56 06 07
CP 10 75 12 20
CP 12 11 09 17
CP 12 18 10 12
CP 14 15 07 88
CP 15 10 10 12
CP 15 20 06 95
CP 15 31 09 17
CP 15 40 06 07
CP 15 56 06 07
CP 16 15 07 88
CP 99 03 12 19
IL 00 03 09 08
IL 00 17 11 98
IL 02 75 11 13
IL 09 17 11 85
IL 09 52 01 15
IL 09 85 12 20
IL 12 06 04 03
IL N 178 03 13
IL P 001 01 04
CP 01 49 06 07
CP 10 54 06 07
IL 01 18 02 17
IL 02 84 01 18
IL 09 35 07 02
IL 12 04 12 98
IL N 179 05 15
CP 01 23 04 08
IL 02 44 09 07
IL 12 01 11 854
